trace	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-2937.35542664179	-2797.31139788611	-140.04402875568	4408.29098031878	0.416853338317093	0.728135576479475	8.32283024346926	270.676008351151	-2797.31139788611
stderr.of.mean	0.198843287922512	0.175680141391812	0.077875984319259	43.5458063401606	0.00048155562451232	0.00150752100187047	0.0104993153383784	0.316965005582258	0.175680141391812
stdev	7.72306568538223	6.66159920919244	3.64292075834551	1847.32490332482	0.0195371940382903	0.0447784182538953	0.367430138281158	11.647585530914	6.66159920919244
variance	59.6457435807284	44.3769040239134	13.2708716515846	3412609.29844406	0.000381701950889808	0.00200510674132078	0.135004906517311	135.666248699957	44.3769040239134
median	-2937.00485401355	-2796.9508820423	-139.836670036113	4070.12698087422	0.416420243981564	0.728873559321306	8.31594514489139	270.508722355954	-2796.9508820423
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4068.1377389487	0.416395399966684	0.726741624105331	8.31471657286471	270.42522002599	NaN
HPD95.lower	-2967.9268774783	-2825.71716109474	-154.617862546984	894.644662553265	0.352950260044355	0.558617244421785	6.89749671845507	227.617343668599	-2825.71716109474
HPD95.upper	-2925.13930724198	-2786.93178119562	-134.410664726391	7962.57308704481	0.449815405365467	0.799897271777124	8.92819220415404	290.389366330086	-2786.93178119562
ACT	5966.02293157273	6259.37323469121	4112.91896737406	5000.90503926747	5467.78014852577	10200.7416691136	7348.77432618905	6664.89514065229	6259.37323469121
ESS	1508.71025861565	1438.00340106161	2188.47005530643	1799.87420863294	1646.18908505801	882.386819700935	1224.83010097655	1350.50886923917	1438.00340106161
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
