Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2602.5418173414564	-2539.1005425656685	-63.44127477578799	6.483678587396757E13	0.7750474186957201	0.6924160887801224	5.928496776718663	230.3350014845777	-2539.1005425656685
1000	-2601.8196030734844	-2537.7537261249468	-64.06587694853751	6.483678587396757E13	0.7750474186957201	0.6924160887801224	5.928496776718663	230.57538889085166	-2537.7537261249468
2000	-2604.9471677819124	-2538.2596653630017	-66.68750241891091	3.689360138763083E13	0.7835020451057354	0.6999693290202762	5.864523458801705	228.00772010433533	-2538.2596653630017
3000	-2609.5041901717004	-2539.623403289479	-69.88078688222147	7.976999259883444E13	0.778582426079741	0.6955742129511203	5.901579549743266	229.63201272587384	-2539.623403289479
4000	-2607.7167179947487	-2539.0623156807483	-68.6544023140006	4.631253955399532E13	0.778582426079741	0.6955742129511203	5.901579549743266	229.33557287392102	-2539.0623156807483
5000	-2607.1848670201807	-2533.608578581127	-73.57628843905367	7.120046393719372E13	0.7779297939127253	0.6949911608673426	5.906530588616572	229.3500596115187	-2533.608578581127
6000	-2604.521272493666	-2533.437361356191	-71.08391113747473	4.486536846349486E13	0.7779297939127253	0.6949911608673426	5.906530588616572	229.35401014416158	-2533.437361356191
7000	-2608.0841665818075	-2537.7007751630035	-70.38339141880382	3.949603833478883E13	0.7808686479414503	0.697616690303322	5.8843009456901925	228.60026519927737	-2537.7007751630035
8000	-2604.8436531628827	-2536.99829263345	-67.84536052943261	5.594811985154778E13	0.7808686479414503	0.697616690303322	5.8843009456901925	228.9738192537448	-2536.99829263345
9000	-2598.8313229560054	-2533.7993073393154	-65.03201561668999	4.21150003821259E13	0.7808686479414503	0.697616690303322	5.8843009456901925	229.3631094097613	-2533.7993073393154
10000	-2603.191761410557	-2541.447044902744	-61.74471650781286	5.9239220501549766E13	0.7801994314817847	0.6970188220537525	5.889348207822905	229.66027928310234	-2541.447044902744
11000	-2598.458821230844	-2538.783945840318	-59.67487539052596	5.9239220501549766E13	0.7801994314817847	0.6970188220537525	5.889348207822905	229.86250503493102	-2538.783945840318
12000	-2591.028537441387	-2531.45574646021	-59.572790981176986	5.9239220501549766E13	0.7801994314817847	0.6970188220537525	5.889348207822905	230.1241986569947	-2531.45574646021
