Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1697.8872347569782	-1651.6847612269935	-46.20247352998466	385.1068686134657	32054.923464477943	0.3792499256724341	2.7085898353106006	30.61858835197518	-1651.6847612269935
1000	-1698.3345596331017	-1652.4516277261223	-45.88293190697943	445.33146685326506	28814.61047803753	0.3792499256724341	2.7900131483141375	32.50427465160392	-1652.4516277261223
2000	-1694.2161294581053	-1649.8547589299678	-44.36137052813758	322.87004656840907	19617.16410517643	0.3792499256724341	2.885016642105708	32.529500853831216	-1649.8547589299678
3000	-1701.3849647427924	-1654.781241621461	-46.60372312133131	261.6422173441556	21865.000528796485	0.3792499256724341	2.5876971196708336	27.88038095261281	-1654.781241621461
4000	-1697.1208970174737	-1650.7799344682253	-46.34096254924836	261.6422173441556	12962.890062052575	0.3792499256724341	2.7777690177059116	30.60007615039918	-1650.7799344682253
5000	-1696.18301462075	-1652.4200639184594	-43.76295070229071	261.6422173441556	16577.64307025988	0.3792499256724341	2.5607098406042543	30.416108430665435	-1652.4200639184594
6000	-1697.8615123589827	-1653.712465127139	-44.14904723184376	338.07122782097724	31343.61362749352	0.3792499256724341	2.557974490651719	31.288599647839366	-1653.712465127139
7000	-1697.3226772098735	-1653.7120603134092	-43.610616896464236	338.07122782097724	31343.61362749352	0.3792499256724341	2.6431300132688023	31.70517675538423	-1653.7120603134092
8000	-1704.3102977859012	-1657.6886943147047	-46.6216034711966	464.3214146948287	60635.551514351806	0.3792499256724341	2.546519879045005	30.64934833903142	-1657.6886943147047
9000	-1700.806750774969	-1655.4011870924937	-45.405563682475325	456.79284839074387	63606.93822140654	0.3792499256724341	2.5215113004708902	30.96301602028788	-1655.4011870924937
10000	-1701.3501899633977	-1653.9760639677068	-47.374125995690974	563.4787990286682	43552.72632131488	0.3792499256724341	2.5352941256343486	31.74815883130387	-1653.9760639677068
11000	-1701.7792541666147	-1651.9482690187565	-49.83098514785813	563.4787990286682	38669.72897628809	0.3792499256724341	2.921282109750898	31.983858991343425	-1651.9482690187565
12000	-1702.429350549013	-1654.3621228400716	-48.06722770894127	563.4787990286682	63136.87675893416	0.3792499256724341	2.6682744325568915	31.32196680726277	-1654.3621228400716
13000	-1699.84090722811	-1653.0239351629498	-46.81697206516008	220.0096823026472	16069.450290566154	0.3792499256724341	2.7901992430050138	30.18570574033121	-1653.0239351629498
14000	-1696.5726188976016	-1653.3895588069968	-43.18306009060475	220.0096823026472	18366.13695540262	0.3792499256724341	2.5307391278167555	29.30420787779471	-1653.3895588069968
15000	-1697.3815817380719	-1651.9815467263463	-45.400035011725535	214.47963522118593	17519.864296726115	0.3792499256724341	2.6040471755338443	29.92784501480987	-1651.9815467263463
16000	-1701.2940385451839	-1655.6180128816995	-45.67602566348441	185.11088131357425	10693.964071110307	0.3792499256724341	2.8205699463453735	31.909383768574124	-1655.6180128816995
17000	-1701.0434386019344	-1655.8908879015858	-45.15255070034867	262.47458720796647	49264.44204252062	0.3908416690933881	2.436489884419529	28.032963169601143	-1655.8908879015858
18000	-1702.6443128661494	-1653.5369637602817	-49.10734910586778	313.1057045200926	20828.696011807056	0.3908416690933881	2.89713925065371	30.16286518625663	-1653.5369637602817
19000	-1700.4010258394253	-1654.5375972634213	-45.86342857600396	588.325015545769	44705.834048819015	0.3908416690933881	2.707782868972665	32.48143573534035	-1654.5375972634213
20000	-1703.0654590324787	-1656.3254838995422	-46.739975132936465	305.21429653642707	15216.963595529758	0.3908416690933881	2.842249950591939	31.30802341086421	-1656.3254838995422
21000	-1695.1823473512827	-1653.1643240830074	-42.01802326827541	444.5302084622156	16759.70451059832	0.4215138324929345	2.8193611818313107	33.444326123960145	-1653.1643240830074
22000	-1700.2521810716482	-1654.9899649738343	-45.26221609781395	586.3461858820422	43977.18462601056	0.42692327658883494	2.5034409559094644	29.679515977959348	-1654.9899649738343
23000	-1695.2342659327287	-1649.7000617332476	-45.53420419948107	647.0020782613083	33858.54144209157	0.4559530309659281	2.5704623309938963	30.827396758897375	-1649.7000617332476
24000	-1696.9732878559723	-1653.270867097392	-43.702420758580345	585.465752720687	41000.39956242947	0.42196466396910626	2.5943531558437254	31.104064115693014	-1653.270867097392
25000	-1698.6621331669817	-1652.9407581955238	-45.72137497145786	369.13706176349916	19866.895824742285	0.42196466396910626	2.5704109252114664	27.981367339918872	-1652.9407581955238
26000	-1697.8939165126117	-1653.5481177252716	-44.34579878734015	507.8987689881154	17798.451071549844	0.39636347718940307	3.025033485677581	35.121524505822784	-1653.5481177252716
27000	-1694.0483019208184	-1651.8442208018648	-42.204081118953624	353.2058648652684	20888.659042549414	0.39636347718940307	2.794464543719998	32.83385092305869	-1651.8442208018648
28000	-1709.2940318864212	-1655.6995970891794	-53.59443479724177	925.0446965475041	41082.46662454055	0.4306348076208458	2.6928892945225806	30.390697403204204	-1655.6995970891794
29000	-1696.6233201866112	-1652.1080826908408	-44.5152374957705	446.21748609173704	15242.899360618525	0.4197429973306676	2.7904250999479236	33.33690099232495	-1652.1080826908408
30000	-1693.6645033636878	-1652.29021258558	-41.37429077810763	432.54978411731906	32686.51481320288	0.4197429973306676	2.492030738960674	30.733428100277703	-1652.29021258558
31000	-1695.54127887221	-1651.4409458964872	-44.10033297572269	441.67240155904784	55787.75389437771	0.4197429973306676	2.4772006592870692	28.005659059363172	-1651.4409458964872
32000	-1693.2100994187194	-1650.0696996876661	-43.14039973105341	338.6576639215167	22168.555106673146	0.3924545401773543	2.623485840072372	30.733302155188028	-1650.0696996876661
33000	-1695.5679632998651	-1652.6139594256858	-42.95400387417929	272.86902872707253	11831.326484957162	0.41572971519641244	2.4737480813167463	30.206178097968003	-1652.6139594256858
34000	-1697.858993321606	-1655.5080269735279	-42.35096634807805	474.89837934756486	50486.79480903846	0.41572971519641244	2.3536171419834457	30.004656896791715	-1655.5080269735279
35000	-1695.1449372497593	-1651.4925531588863	-43.65238409087314	635.6300071573106	30504.070474932156	0.4242010178335232	2.889474688144296	33.53127497365427	-1651.4925531588863
36000	-1694.5365615169871	-1652.4637664063137	-42.07279511067353	403.42190709075027	37218.17676567472	0.43021893685536483	2.3417022021198806	28.11106972127515	-1652.4637664063137
37000	-1696.9771745882954	-1651.690349805066	-45.28682478322925	319.3891590393376	17233.006731013753	0.38910025972776746	2.6632524550046397	30.17744225836067	-1651.690349805066
38000	-1695.8866700014598	-1650.4891008254815	-45.3975691759784	222.44398622698944	11873.647519042568	0.3907490173645109	2.7712428291239863	31.15255153321742	-1650.4891008254815
39000	-1700.8736022086937	-1655.0754156668463	-45.798186541847414	558.4546181697606	30594.48185661164	0.4076560696723757	2.803639266999922	32.326842098423455	-1655.0754156668463
40000	-1694.4577468854027	-1651.9182871781572	-42.53945970724546	250.13373487069413	27236.511285669996	0.38561307535154443	2.3943266535961505	28.705390020537845	-1651.9182871781572
41000	-1695.0762040928007	-1652.876256786114	-42.19994730668674	327.1744623678448	20030.75891677483	0.41021338816079767	2.532244062275044	30.18943834288526	-1652.876256786114
