Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-19836.066483472856	-19692.293196631766	-143.77328684108932	5242.1485813329045	0.42057224455603065	0.9505914859493318	12.621788961772076	444.7997327879399	-19692.293196631766
1000	-19843.823447861032	-19700.937501480086	-142.88594638094625	7450.825624765106	0.42057224455603065	0.9505914859493318	12.621788961772076	445.3084998606101	-19700.937501480086
2000	-19847.604738274265	-19704.81241940856	-142.7923188657055	5198.850522612753	0.42057224455603065	0.9505914859493318	12.621788961772076	443.90938740216376	-19704.81241940856
3000	-19841.274044950373	-19697.34117471902	-143.93287023135352	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	443.13152412058076	-19697.34117471902
4000	-19844.57041012995	-19701.483391632326	-143.08701849762423	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	445.1544163487147	-19701.483391632326
5000	-19838.104972713227	-19696.116452468545	-141.98852024468243	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	445.14269866524324	-19696.116452468545
6000	-19842.976711680512	-19699.88076934821	-143.0959423323052	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	446.8276684410259	-19699.88076934821
7000	-19844.05246652859	-19699.616109294147	-144.43635723444143	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	446.53696706943424	-19699.616109294147
8000	-19850.55603093264	-19706.03775320775	-144.5182777248886	6944.912159913114	0.42057224455603065	0.9505914859493318	12.621788961772076	444.8927376215659	-19706.03775320775
9000	-19849.027226274084	-19705.144384748746	-143.8828415253372	6590.785457081081	0.42057224455603065	0.9505914859493318	12.621788961772076	445.70768029180954	-19705.144384748746
10000	-19861.43492717784	-19717.509353449863	-143.92557372797802	6590.785457081081	0.42057224455603065	0.9505914859493318	12.621788961772076	444.31602465491386	-19717.509353449863
11000	-19855.24094994232	-19706.91004430358	-148.33090563874055	10717.74666395243	0.42057224455603065	0.9505914859493318	12.836902069712778	454.79002785076256	-19706.91004430358
12000	-19855.704819113744	-19707.178197392073	-148.5266217216697	14848.536053707592	0.42057224455603065	0.9505914859493318	12.836902069712778	453.3095396855748	-19707.178197392073
13000	-19852.509257540514	-19704.640329342154	-147.8689281983605	10944.285475565162	0.42057224455603065	0.9505914859493318	12.836902069712778	453.1698945663483	-19704.640329342154
14000	-19865.229608889214	-19712.96884543759	-152.26076345162318	10944.285475565162	0.42057224455603065	0.9505914859493318	12.836902069712778	448.8749892242665	-19712.96884543759
15000	-19854.93432355793	-19707.81486789988	-147.11945565804888	12043.822996114544	0.42057224455603065	0.9505914859493318	12.836902069712778	451.84209934401173	-19707.81486789988
16000	-19849.370756163236	-19699.190273103915	-150.18048305932095	10273.84394955163	0.42057224455603065	0.9505914859493318	12.788004179328679	449.1550296936741	-19699.190273103915
17000	-19856.558671114715	-19707.600871373503	-148.95779974121407	8256.226794991064	0.42057224455603065	0.9505914859493318	12.788004179328679	447.93782975663345	-19707.600871373503
18000	-19844.5005502201	-19701.940612897386	-142.55993732271065	6996.099264843089	0.42057224455603065	0.9505914859493318	12.675545949750836	448.32880783934394	-19701.940612897386
19000	-19845.99036606658	-19702.329094460427	-143.66127160615386	7082.776891920135	0.42057224455603065	0.9505914859493318	12.675545949750836	445.03054225315515	-19702.329094460427
20000	-19857.28453736976	-19709.507464901417	-147.7770724683423	7070.906160894413	0.42057224455603065	0.9505914859493318	12.675545949750836	443.09897888943823	-19709.507464901417
21000	-19860.793722400133	-19710.899316946074	-149.8944054540586	8471.340676760521	0.42057224455603065	0.9505914859493318	12.652714626418376	441.22768424991176	-19710.899316946074
22000	-19858.887750073798	-19711.49181911557	-147.3959309582295	8236.945886689293	0.42057224455603065	0.9505914859493318	12.745385130134544	443.13231391128664	-19711.49181911557
23000	-19849.99827012306	-19705.134779633885	-144.8634904891741	6296.584293005105	0.42057224455603065	0.9505914859493318	12.780820994738074	443.25712023734616	-19705.134779633885
24000	-19850.621007278332	-19702.63454697991	-147.98646029842521	5405.374003091301	0.42057224455603065	0.9505914859493318	12.780820994738074	440.84797776308017	-19702.63454697991
25000	-19851.209041029644	-19704.1947915537	-147.0142494759452	5976.421886455673	0.42057224455603065	0.9505914859493318	12.780820994738074	442.78136727740025	-19704.1947915537
26000	-19845.45451401306	-19694.886140732342	-150.56837328071757	8570.662026526577	0.42057224455603065	0.9505914859493318	12.758731427636441	441.0089935632224	-19694.886140732342
27000	-19840.116981998184	-19695.459863941975	-144.6571180562089	5957.519978622197	0.42057224455603065	0.9505914859493318	12.78311377061862	443.29206130682087	-19695.459863941975
28000	-19840.569230397497	-19696.098088333078	-144.47114206441972	7769.068104617001	0.42057224455603065	0.9505914859493318	12.795865473004712	447.2350685192161	-19696.098088333078
29000	-19846.19125919931	-19705.25793416219	-140.93332503712182	3474.588410255543	0.42057224455603065	0.9505914859493318	12.489568698237857	434.7506299646084	-19705.25793416219
30000	-19840.894185050565	-19699.49297346865	-141.40121158191823	4659.865999511907	0.42057224455603065	0.9505914859493318	12.688148794854753	441.1441473449609	-19699.49297346865
31000	-19844.006434607483	-19699.104171649815	-144.90226295766976	2959.8185251937753	0.42057224455603065	0.9505914859493318	12.340195451047727	426.78976381742734	-19699.104171649815
32000	-19843.466846853273	-19703.491930466185	-139.97491638708684	2998.9868108019436	0.42057224455603065	0.9505914859493318	12.473087816371883	434.9444441204733	-19703.491930466185
33000	-19852.559954634486	-19702.624604489672	-149.93535014481168	3734.3247969732147	0.42057224455603065	0.9505914859493318	12.808134086371258	437.4228479025443	-19702.624604489672
34000	-19847.34580040939	-19702.921721756135	-144.42407865325745	5663.254183541303	0.42057224455603065	0.9505914859493318	12.808134086371258	439.67819845167287	-19702.921721756135
35000	-19845.614913788773	-19701.122844373658	-144.49206941511477	7885.178507213643	0.42057224455603065	0.9505914859493318	12.794393093138698	442.3075165018583	-19701.122844373658
36000	-19847.556923627122	-19699.24060633325	-148.31631729387425	7255.568397953397	0.42057224455603065	0.9505914859493318	13.058894785687675	443.4641823138099	-19699.24060633325
37000	-19839.98279024139	-19696.354070060523	-143.62872018086586	5412.1068025805625	0.42057224455603065	0.9505914859493318	12.764380347018786	440.7716180570208	-19696.354070060523
38000	-19845.716147927094	-19702.93199209954	-142.7841558275537	4881.950388800847	0.42057224455603065	0.9505914859493318	12.657328693250363	440.14957982942695	-19702.93199209954
39000	-19852.077092093667	-19709.453750221368	-142.62334187229837	5139.415036404571	0.42057224455603065	0.9505914859493318	12.795561641449128	446.7654901886735	-19709.453750221368
40000	-19847.36853375045	-19705.33851488521	-142.03001886524146	4832.856458037749	0.42057224455603065	0.9505914859493318	12.556779942457355	444.8262542285353	-19705.33851488521
41000	-19844.654340003573	-19701.05711512246	-143.59722488111123	5697.771568603486	0.42057224455603065	0.9505914859493318	12.533997302085965	440.68638982874694	-19701.05711512246
42000	-19847.40294808922	-19702.759534776837	-144.64341331238248	3320.403073058688	0.42057224455603065	0.9505914859493318	12.385649254752046	432.76458065162404	-19702.759534776837
43000	-19839.082731350933	-19693.655354001217	-145.42737734971698	10095.145415118308	0.42057224455603065	0.9505914859493318	12.681720097286751	447.3876608980143	-19693.655354001217
44000	-19841.2420771556	-19695.92446757289	-145.31760958270837	5536.246889483783	0.42057224455603065	0.9505914859493318	12.459923647495842	435.3963937137556	-19695.92446757289
45000	-19845.03379624826	-19701.43185312729	-143.601943120967	5143.862723942937	0.42057224455603065	0.9505914859493318	12.459923647495842	437.59953502952806	-19701.43185312729
46000	-19846.678573163776	-19700.44076255796	-146.23781060581615	4750.782317321288	0.42057224455603065	0.9505914859493318	12.506876787576394	442.0470059770543	-19700.44076255796
47000	-19839.39623001152	-19697.544495479215	-141.8517345323044	5861.414914531892	0.42057224455603065	0.9505914859493318	12.506876787576394	442.6346169527959	-19697.544495479215
48000	-19841.165894953676	-19696.909567349536	-144.2563276041397	6959.594781053165	0.42057224455603065	0.9505914859493318	12.388187596963347	440.5279319860657	-19696.909567349536
49000	-19840.930418079617	-19696.354765619475	-144.57565246014022	4517.106313372289	0.42057224455603065	0.9505914859493318	12.388187596963347	436.5677589904436	-19696.354765619475
50000	-19841.569697026865	-19696.120512344045	-145.44918468281887	3879.0880699974578	0.42057224455603065	0.9505914859493318	12.602620196310903	437.9084801439001	-19696.120512344045
51000	-19843.694712620792	-19701.80616563459	-141.88854698620446	5652.067931830855	0.42057224455603065	0.9505914859493318	12.602620196310903	441.7425141886741	-19701.80616563459
52000	-19844.0187885704	-19698.370015795324	-145.64877277507478	5624.742913267112	0.42057224455603065	0.9505914859493318	12.602620196310903	438.5902787611326	-19698.370015795324
53000	-19838.592157066985	-19697.34604374657	-141.24611332041457	4446.10762016108	0.42057224455603065	0.9505914859493318	12.675047086188055	443.1996121885531	-19697.34604374657
54000	-19837.6816558539	-19694.788497755733	-142.89315809816517	3175.250519445311	0.42057224455603065	0.9505914859493318	12.42890638249501	430.6527044987385	-19694.788497755733
55000	-19842.991349144933	-19698.691937017615	-144.29941212731924	4529.95652657661	0.42057224455603065	0.9505914859493318	12.679677413733717	439.7154058916657	-19698.691937017615
56000	-19848.872932520047	-19704.265717600996	-144.60721491905042	5067.766696682488	0.42057224455603065	0.9505914859493318	12.562676924977549	438.0145456580268	-19704.265717600996
57000	-19842.043077772734	-19695.79916600276	-146.24391176997585	6851.698385668069	0.42057224455603065	0.9505914859493318	12.543645103508767	441.8319188657966	-19695.79916600276
58000	-19841.06665776818	-19695.843399366346	-145.22325840183396	5835.779777894508	0.42057224455603065	0.9505914859493318	12.561556861230791	441.77837612095993	-19695.843399366346
59000	-19847.005623737605	-19703.064696978687	-143.940926758918	7172.986650868058	0.42057224455603065	0.9505914859493318	12.561556861230791	444.7120080476526	-19703.064696978687
60000	-19843.833145030385	-19699.119223442	-144.71392158838438	7193.660014926921	0.42057224455603065	0.9505914859493318	12.395744787680165	440.92453197016516	-19699.119223442
61000	-19848.214789824757	-19708.904292443083	-139.31049738167388	3762.13770232041	0.42057224455603065	0.9505914859493318	12.395744787680165	439.4646386708622	-19708.904292443083
62000	-19853.27637891793	-19708.408184591823	-144.86819432610727	6251.717034580648	0.42057224455603065	0.9505914859493318	12.381040006151272	439.8740579669585	-19708.408184591823
63000	-19845.380961302548	-19699.66722168731	-145.71373961523807	3963.07233160478	0.42057224455603065	0.9505914859493318	12.44761706806541	439.95812866048186	-19699.66722168731
64000	-19841.83111376615	-19699.057299420398	-142.77381434575193	6911.675655232272	0.42057224455603065	0.9505914859493318	12.44761706806541	445.51103435259586	-19699.057299420398
65000	-19843.283344355863	-19701.517027481124	-141.7663168747387	5243.11648477222	0.42057224455603065	0.9505914859493318	12.3338127184971	439.69022977068636	-19701.517027481124
66000	-19849.59276076264	-19702.64393195834	-146.94882880429762	7622.5096512094915	0.42057224455603065	0.9505914859493318	12.5470379733719	443.13302193445224	-19702.64393195834
67000	-19837.251922418724	-19692.51459876916	-144.73732364956248	6756.16126839124	0.42057224455603065	0.9505914859493318	12.53193966452001	443.0654819573784	-19692.51459876916
68000	-19846.623630604005	-19698.09193711954	-148.53169348446497	5433.921839663463	0.42057224455603065	0.9505914859493318	12.482761293493144	436.5830275888117	-19698.09193711954
69000	-19841.122365519997	-19697.42120890946	-143.70115661053438	4425.743989665269	0.42057224455603065	0.9505914859493318	12.63326026964145	435.3402114642506	-19697.42120890946
70000	-19851.291632693716	-19708.892020976757	-142.39961171696015	6247.315766559441	0.42057224455603065	0.9505914859493318	12.782274870938286	443.60791955172914	-19708.892020976757
71000	-19844.66380148049	-19698.98545697134	-145.67834450915137	5247.121788099613	0.42057224455603065	0.9505914859493318	12.910439999345911	440.188563876207	-19698.98545697134
72000	-19844.94113784695	-19698.68110085022	-146.26003699673032	6799.150177323392	0.42057224455603065	0.9505914859493318	12.84517417784577	441.0455290351243	-19698.68110085022
73000	-19844.400671584208	-19702.138870049377	-142.26180153483102	5444.708341222899	0.42057224455603065	0.9505914859493318	12.742138416071466	442.4583610443898	-19702.138870049377
74000	-19845.66024581283	-19698.9840233275	-146.67622248533164	6623.342608151346	0.42057224455603065	0.9505914859493318	12.866583021701032	442.3574924507134	-19698.9840233275
75000	-19833.98603093386	-19691.492872272283	-142.49315866157346	5422.32594488119	0.42057224455603065	0.9505914859493318	12.721373863390031	439.94725549137956	-19691.492872272283
76000	-19846.272823859785	-19702.008940623702	-144.2638832360825	5422.32594488119	0.42057224455603065	0.9505914859493318	12.80024829439697	441.27123145269854	-19702.008940623702
77000	-19847.836056510427	-19699.07366643347	-148.7623900769568	7321.390409603245	0.42057224455603065	0.9505914859493318	12.83960028948367	439.9422464711091	-19699.07366643347
78000	-19844.03074415756	-19699.063895051982	-144.96684910557903	4555.578216680444	0.42057224455603065	0.9505914859493318	12.659589611395864	435.10764705189746	-19699.063895051982
79000	-19852.800892432915	-19705.908945036856	-146.8919473960586	6987.836435968382	0.42057224455603065	0.9505914859493318	12.714882382510988	440.38645990765554	-19705.908945036856
80000	-19847.438335292194	-19703.302613991105	-144.1357213010906	3431.800324413065	0.42057224455603065	0.9505914859493318	12.50488985695259	434.7398896375686	-19703.302613991105
81000	-19845.34035644982	-19701.533904361208	-143.80645208861026	7686.646139858982	0.42057224455603065	0.9505914859493318	12.768459555325576	444.00193871749684	-19701.533904361208
82000	-19846.722554115568	-19701.470671754974	-145.25188236059276	6370.153238668825	0.42057224455603065	0.9505914859493318	12.768459555325576	439.4463217231095	-19701.470671754974
83000	-19851.06800192142	-19707.49086602807	-143.57713589334836	6269.021381842169	0.42057224455603065	0.9505914859493318	12.565796825350661	444.0496852353021	-19707.49086602807
84000	-19846.336521304685	-19704.197526777716	-142.13899452696907	5487.910452442671	0.42057224455603065	0.9505914859493318	12.568919975629518	441.9238580857992	-19704.197526777716
85000	-19847.12535189032	-19701.200436400588	-145.92491548973493	5523.232141174063	0.42057224455603065	0.9505914859493318	12.6894682950969	441.70779249001635	-19701.200436400588
86000	-19839.31408578748	-19693.310638954943	-146.0034468325342	7209.656463453245	0.42057224455603065	0.9505914859493318	12.60748200093407	441.09524109828084	-19693.310638954943
87000	-19838.409579140214	-19696.83805590142	-141.571523238796	3910.326886660497	0.42057224455603065	0.9505914859493318	12.47670451193855	443.35805219261846	-19696.83805590142
88000	-19847.933472909044	-19703.63180126173	-144.30167164731233	5172.535037037625	0.42057224455603065	0.9505914859493318	12.541300338615756	439.8181691763242	-19703.63180126173
89000	-19843.52705910318	-19698.262283508062	-145.26477559511918	3856.6842379701607	0.42057224455603065	0.9505914859493318	12.613887080943242	441.8934727746598	-19698.262283508062
90000	-19837.7511324959	-19694.384022647377	-143.36710984852644	5701.887154592331	0.42057224455603065	0.9505914859493318	12.581059083657353	439.14179463527057	-19694.384022647377
91000	-19842.492720956685	-19696.964426076822	-145.52829487986395	4261.580643628164	0.42057224455603065	0.9505914859493318	12.445148203172739	432.5019277733855	-19696.964426076822
92000	-19845.511685797686	-19702.783408412655	-142.72827738503065	4211.97237643924	0.4194721793644706	0.9505914859493318	12.616067042059163	440.8058158274318	-19702.783408412655
93000	-19847.868235512648	-19705.03848209858	-142.82975341406885	3189.248864685506	0.4194721793644706	0.9505914859493318	12.504649638723615	434.0675003726624	-19705.03848209858
94000	-19837.542766223225	-19693.315260657324	-144.22750556589997	4291.952113376567	0.4194721793644706	0.9505914859493318	12.512316856274479	434.4116589211848	-19693.315260657324
95000	-19844.63535028781	-19694.38742328843	-150.247926999379	9978.0681605164	0.4194721793644706	0.9505914859493318	12.834344652209639	446.01296620485226	-19694.38742328843
96000	-19853.001028350653	-19706.677019781306	-146.3240085693485	5165.622414357975	0.4194721793644706	0.9505914859493318	12.831158804490197	437.6677768012876	-19706.677019781306
